iter	Passed	Remaining
0	139	139247
1	141	70413
2	142	47412
3	144	35975
4	146	29159
5	148	24581
6	150	21333
7	152	18880
8	154	16998
9	156	15478
10	158	14245
11	160	13226
12	162	12365
13	165	11621
14	166	10962
15	168	10380
16	170	9880
17	172	9436
18	175	9057
19	177	8693
20	179	8361
21	181	8059
22	183	7780
23	185	7526
24	186	7290
25	188	7068
26	190	6851
27	191	6659
28	193	6481
29	195	6316
30	197	6171
31	198	6016
32	200	5863
33	201	5731
34	203	5606
35	204	5479
36	206	5363
37	207	5250
38	208	5138
39	210	5040
40	211	4941
41	212	4841
42	213	4752
43	214	4664
44	215	4582
45	216	4499
46	217	4419
47	218	4339
48	219	4262
49	220	4189
50	221	4118
51	222	4050
52	223	3989
53	224	3926
54	225	3869
55	226	3814
56	227	3767
57	229	3725
58	230	3675
59	231	3629
60	233	3589
61	234	3544
62	235	3500
63	236	3463
64	238	3426
65	239	3386
66	240	3348
67	241	3312
68	242	3273
69	243	3234
70	244	3198
71	245	3165
72	246	3130
73	247	3097
74	248	3064
75	249	3036
76	251	3015
77	252	2989
78	254	2966
79	255	2938
80	256	2913
81	257	2887
82	258	2855
83	259	2833
84	261	2811
85	262	2787
86	263	2765
87	264	2745
88	265	2721
89	266	2697
90	267	2676
91	269	2655
92	270	2634
93	271	2613
94	272	2595
95	273	2579
96	275	2560
97	276	2541
98	277	2521
99	278	2502
100	279	2486
101	280	2467
102	281	2450
103	282	2434
104	283	2415
105	284	2398
106	285	2381
107	286	2366
108	287	2353
109	289	2338
110	290	2323
111	291	2313
112	292	2299
113	293	2284
114	294	2267
115	295	2252
116	296	2235
117	297	2221
118	298	2208
119	299	2195
120	300	2183
121	301	2169
122	302	2157
123	304	2147
124	305	2136
125	306	2126
126	308	2118
127	309	2107
128	311	2100
129	312	2088
130	313	2078
131	314	2070
132	316	2061
133	317	2053
134	318	2042
135	320	2033
136	321	2023
137	322	2013
138	323	2001
139	324	1990
140	325	1982
141	326	1971
142	327	1963
143	328	1954
144	329	1944
145	331	1937
146	332	1930
147	333	1920
148	334	1910
149	335	1901
150	336	1893
151	338	1886
152	339	1877
153	340	1869
154	341	1862
155	342	1853
156	343	1846
157	344	1838
158	346	1831
159	347	1822
160	347	1812
161	348	1804
162	349	1795
163	350	1786
164	351	1780
165	352	1771
166	353	1765
167	355	1759
168	356	1753
169	357	1747
170	358	1739
171	359	1730
172	360	1723
173	361	1716
174	362	1708
175	363	1701
176	364	1693
177	365	1686
178	365	1678
179	366	1670
180	367	1663
181	368	1656
182	369	1649
183	370	1642
184	371	1635
185	372	1629
186	373	1624
187	374	1619
188	376	1613
189	377	1608
190	378	1602
191	379	1595
192	380	1589
193	381	1583
194	382	1579
195	384	1575
196	384	1569
197	385	1562
198	387	1557
199	387	1551
200	388	1545
201	389	1539
202	390	1533
203	391	1526
204	392	1521
205	393	1516
206	394	1512
207	395	1507
208	396	1502
209	398	1497
210	399	1492
211	400	1486
212	401	1481
213	401	1475
214	403	1471
215	404	1467
216	405	1462
217	406	1456
218	407	1451
219	408	1447
220	409	1442
221	410	1437
222	411	1434
223	412	1429
224	413	1425
225	414	1420
226	415	1416
227	416	1411
228	417	1406
229	418	1401
230	419	1397
231	421	1393
232	422	1390
233	424	1388
234	425	1385
235	426	1382
236	427	1377
237	429	1374
238	430	1370
239	431	1366
240	432	1362
241	433	1359
242	435	1356
243	436	1353
244	438	1351
245	440	1348
246	441	1344
247	442	1342
248	443	1338
249	444	1334
250	445	1330
251	446	1325
252	447	1321
253	448	1318
254	450	1315
255	451	1311
256	452	1309
257	453	1305
258	454	1301
259	456	1298
260	457	1294
261	457	1289
262	458	1285
263	460	1282
264	461	1280
265	462	1276
266	463	1273
267	465	1270
268	465	1266
269	467	1263
270	468	1259
271	469	1257
272	470	1253
273	472	1250
274	473	1248
275	474	1244
276	475	1240
277	476	1237
278	477	1234
279	478	1230
280	480	1228
281	481	1225
282	482	1221
283	482	1217
284	483	1213
285	485	1211
286	486	1208
287	488	1206
288	489	1204
289	490	1201
290	491	1198
291	492	1194
292	494	1192
293	495	1189
294	496	1187
295	497	1184
296	499	1181
297	500	1179
298	501	1176
299	503	1174
300	504	1172
301	506	1169
302	507	1167
303	508	1164
304	510	1162
305	511	1160
306	512	1157
307	514	1155
308	515	1152
309	516	1150
310	518	1147
311	519	1145
312	520	1143
313	521	1140
314	523	1137
315	524	1135
316	525	1133
317	526	1129
318	527	1126
319	529	1124
320	530	1121
321	531	1118
322	532	1115
323	532	1111
324	533	1108
325	534	1105
326	535	1102
327	536	1098
328	537	1096
329	538	1094
330	539	1090
331	540	1087
332	541	1085
333	543	1083
334	543	1079
335	545	1077
336	546	1074
337	546	1071
338	547	1067
339	548	1064
340	549	1062
341	551	1060
342	552	1058
343	553	1055
344	554	1053
345	556	1051
346	557	1048
347	558	1045
348	559	1043
349	560	1040
350	561	1038
351	563	1036
352	564	1034
353	564	1030
354	565	1027
355	566	1024
356	567	1022
357	568	1019
358	570	1017
359	570	1014
360	571	1012
361	572	1009
362	573	1006
363	575	1004
364	576	1002
365	577	1000
366	578	998
367	580	997
368	582	995
369	583	993
370	584	991
371	585	988
372	587	986
373	588	985
374	590	983
375	591	981
376	592	979
377	593	977
378	594	974
379	596	972
380	597	970
381	597	967
382	598	964
