iter	Passed	Remaining
0	0	749
1	1	695
2	1	662
3	2	646
4	3	637
5	3	639
6	4	636
7	5	636
8	5	633
9	6	629
10	6	627
11	7	623
12	8	619
13	8	617
14	9	615
15	9	612
16	10	609
17	11	608
18	11	608
19	12	606
20	13	606
21	13	606
22	14	603
23	14	602
24	15	601
25	16	599
26	16	598
27	17	597
28	17	596
29	18	595
30	19	594
31	19	593
32	20	592
33	20	591
34	21	590
35	22	589
36	22	588
37	23	588
38	23	587
39	24	587
40	25	587
41	25	586
42	26	585
43	26	585
44	27	584
45	28	583
46	28	583
47	29	582
48	29	581
49	30	581
50	31	581
51	31	581
52	32	581
53	33	580
54	33	580
55	34	580
56	35	579
57	35	578
58	36	578
59	36	577
60	37	577
61	38	576
62	38	576
63	39	575
64	39	574
65	40	574
66	41	573
67	41	573
68	42	572
69	43	572
70	43	571
71	44	570
72	44	570
73	45	569
74	46	569
75	46	568
76	47	567
77	47	566
78	48	566
79	49	565
80	49	565
81	50	564
82	50	561
83	51	560
84	52	560
85	52	560
86	53	559
87	53	559
88	54	559
89	55	559
90	55	558
91	56	558
92	57	557
93	57	556
94	58	556
95	58	555
96	59	554
97	60	554
98	60	553
99	61	552
100	61	551
101	62	551
102	63	550
103	63	549
104	64	548
105	65	548
106	65	547
107	66	547
108	66	546
109	67	545
110	67	544
111	68	543
112	69	543
113	69	542
114	70	541
115	70	540
116	71	539
117	72	538
118	72	537
119	73	537
120	73	536
121	74	534
122	74	533
123	75	532
124	76	532
125	76	531
126	77	529
127	77	529
128	78	528
129	78	528
130	79	527
131	80	527
132	80	526
133	81	525
134	81	524
135	82	524
136	83	523
137	83	522
138	84	521
139	84	521
140	85	520
141	85	518
142	86	517
143	86	517
144	87	516
145	88	515
146	88	514
147	89	514
148	89	513
149	90	513
150	91	512
151	91	511
152	92	510
153	92	510
154	93	509
155	94	509
156	94	508
157	95	507
158	95	506
159	96	506
160	96	504
161	97	503
162	97	503
163	98	502
164	99	501
165	99	501
166	100	500
167	100	499
168	101	499
169	102	498
170	102	497
171	103	497
172	103	496
173	104	495
174	105	495
175	105	494
176	106	494
177	106	493
178	107	492
179	108	492
180	108	491
181	109	490
182	109	490
183	110	489
184	110	488
185	111	488
186	112	487
187	112	486
188	113	486
189	113	485
190	114	484
191	115	484
192	115	483
193	116	483
194	116	482
195	117	481
196	118	480
197	119	482
198	119	482
199	120	482
200	121	482
201	122	482
202	122	481
203	123	481
204	123	480
205	124	479
206	125	479
207	125	478
208	126	478
209	126	477
210	127	477
211	128	476
212	128	476
213	129	475
214	130	474
215	130	474
216	131	473
217	131	472
218	132	472
219	133	471
220	133	471
221	134	470
222	134	470
223	135	469
224	136	468
225	136	468
226	137	467
227	137	466
228	138	466
229	139	465
230	139	464
231	140	464
232	141	464
233	141	463
234	142	463
235	142	462
236	143	461
237	144	461
238	144	460
239	145	459
240	145	459
241	146	458
242	146	457
243	147	457
244	148	456
245	148	455
246	149	455
247	149	454
248	150	453
249	151	453
250	151	452
251	152	451
252	152	451
253	153	450
254	153	449
255	154	449
256	155	449
257	155	448
258	156	447
259	157	447
260	157	446
261	158	445
262	158	445
263	159	444
264	160	444
265	160	443
266	161	443
267	161	442
268	162	441
269	163	441
270	163	440
271	164	439
272	164	439
273	165	438
274	166	438
275	166	437
276	167	436
277	167	436
278	168	435
279	169	434
280	169	434
281	170	433
282	170	432
283	171	432
284	172	431
285	172	431
286	173	430
287	173	429
288	174	429
289	175	428
290	175	428
291	176	427
292	176	426
293	177	426
294	178	425
295	178	424
296	179	424
297	179	423
298	180	422
299	180	422
300	181	421
301	182	421
302	182	420
303	183	419
304	184	419
305	184	418
306	185	418
307	185	417
308	186	416
309	187	416
310	187	415
311	188	414
312	188	414
313	189	413
314	189	412
315	190	412
316	191	411
317	191	411
318	192	410
319	192	409
320	193	409
321	194	408
322	194	407
323	195	407
324	195	406
325	196	405
326	196	405
327	197	404
328	198	403
329	198	403
330	199	402
331	199	402
332	200	401
333	201	400
334	201	400
335	202	399
336	202	399
337	203	398
338	203	397
339	204	397
340	205	396
341	205	395
342	206	395
343	206	394
344	207	393
345	208	393
346	208	392
347	209	391
348	209	391
349	210	390
350	210	389
351	211	389
352	212	388
353	212	388
354	213	387
355	213	386
356	214	386
357	215	385
358	215	385
359	216	384
360	216	383
361	217	383
362	218	382
363	218	382
364	219	381
365	219	380
366	220	380
367	221	379
368	221	378
369	222	378
370	222	377
371	223	377
372	223	376
373	224	375
374	225	375
375	225	374
376	226	374
377	226	373
378	227	372
379	228	372
380	228	371
381	229	370
382	229	370
383	230	369
384	231	369
385	231	368
386	232	367
387	232	367
388	233	366
389	234	366
390	234	365
391	235	364
392	235	364
393	236	363
394	236	362
395	237	362
396	238	361
397	238	361
398	239	360
399	239	359
400	240	359
401	241	358
402	241	358
403	242	357
404	242	356
405	243	356
406	244	355
407	244	355
408	245	354
409	245	353
410	246	353
411	247	352
412	247	352
413	248	351
414	248	350
415	249	350
416	249	349
417	250	348
418	251	348
419	251	347
420	252	347
421	252	346
422	253	345
423	254	345
424	254	344
425	255	343
426	255	343
427	256	342
428	256	342
429	257	341
430	258	340
431	258	340
432	259	339
433	259	338
434	260	338
435	261	337
436	261	337
437	262	336
